id,name,description,cipName
ckwg.CA.en.5.06,Emergency Management (part-time),"This Ontario College Graduate Certificate program equips students, both tactically and strategically, to understand and respond to the four domains of emergency management: mitigation/prevention, preparedness, response and recovery.",Emergency Management (part-time).
ckwg.CA.en.5.07,Advertising and Marketing Communications Management,"The three-year Advertising and Marketing Communications Management program at Algonquin College blends traditional business theory with creative messaging, and prepares students for a variety of roles in integrated marketing communications.",Advertising and Marketing Communications Management.
ckwg.CA.en.5.07,Brand Management,"This one-year Ontario College Graduate Certificate program prepares students for a career in the dynamic field of brand management. Branding is a globally-recognized, specialized function of marketing communication. This intense and hands-on program is created and taught by leading industry experts. Students acquire tools, strategies and develop business savvy to drive success around a company`s most precious asset - the brand - in the global, digital and socially-conscious marketplace. Students build brand equity through managing strategic, integrated promotional campaigns from conception to delivery. To measure campaign success, students identify, create and use brand metrics and tracking tools. Development of leadership and strategic thinking is a major focus throughout the program. Managing a brand in the world`s emerging economies, and building and leveraging a socially responsible brand is another key area of concentration. Other areas include using and measuring social media brand channels and evaluating brand design elements. During the course of this program, students use a variety of learning formats including case studies, classroom, online study, group work and practical industry-related experience.",Brand Management.
ckwg.CA.en.5.07,Business - Marketing,"This two-year Ontario College Diploma program provides students with a specialization in marketing. Students learn all aspects of marketing from product conception to product consumption in an applied learning environment. Students also benefit from the application of computing technology and a collaborative learning environment which allow graduates to immediately contribute in a meaningful way to an organization`s marketing program initiatives using modern information technology tools. The curriculum is designed to provide both theory and applied learning, culminating with a comprehensive marketing plan project with an industry client in the fourth level.",Business - Marketing.
ckwg.CA.en.5.07,Business - Marketing (part-time),"This two-year Ontario College Diploma program provides students with a specialization in marketing. Students learn all aspects of marketing from product conception to product consumption in an applied learning environment. Students also benefit from the application of computing technology and a collaborative learning environment which allow graduates to immediately contribute in a meaningful way to an organization's marketing program initiatives using modern information technology tools. The curriculum is designed to provide both theory and applied learning, culminating with a comprehensive marketing plan project with an industry client in the fourth level.",Business - Marketing (part-time).
ckwg.CA.en.5.07,Business Marketing Management (part-time),"If you want to gain the essential marketing and management knowledge and abilities required to make effective business decisions, enrol in this College Certificate program. The long-term viability and profitability of a business depends on the ability of a marketing department to apply creative and critical thinking to its marketing strategy and to conduct business in a socially responsible manner. To successfully market in today's competitive environment, marketers must be knowledgeable in all areas of the marketing discipline, ranging from research, to sales, to product management and to integrated marketing communications. This program helps students develop these applied skills and to view the customer as the centre of focus for the entire organization.",Business Marketing Management (part-time).
ckwg.CA.en.5.07,Fundraising Management (part-time),"Interested in professional fundraising and being involved in the areas of special events, direct mail and telemarketing, grant writing, campaign management and donor-centred planned giving? If so, this College Certificate program equips students with the practical skills necessary to enhance their employability to successfully pursue a career in fundraising in the non-profit sector.",Fundraising Management (part-time).
ckwg.CA.en.5.07,Marketing Management,"This one-year Ontario College Graduate Certificate program, prepares students to become marketing professionals in global, diverse, dynamic and complex business environments. Students analyze consumer attitudes and behaviours in regards to products and businesses in a rapidly changing world. Through a creative, flexible and customer-focused approach, students develop an understanding of both domestic and international marketing issues.",Marketing Management.
ckwg.CA.en.5.07,Mobile Marketing (part-time),This online College Certificate program prepares students for careers in the expanding and evolving area of mobile marketing. The way consumers interact with goods and businesses and connect to the world is changing because of mobile technologies. Students are provided with opportunities to learn about the evolving mobile marketing landscape and apply marketing strategies and digital communication techniques to target diverse consumer audiences.,Mobile Marketing (part-time).
ckwg.CA.en.5.07,Social Media Compliance Management (part-time),"With the prevalent growth of social media use, risk and policy management are of paramount importance. In this fully online College Certificate program, learners explore privacy, data security issues and risk mitigation processes to protect personal and corporate identity. Learners identify policy best practices, as well as branding and general public relations challenges to protect and manage an effective social media presence for an organization.",Social Media Compliance Management (part-time).
ckwg.CA.en.5.05,Business - Accounting,"This two-year Ontario College Diploma provides students with accounting theory and hands-on practical experience with integrated computer technologies. Students take financial and managerial accounting, taxation, finance, as well as other business-related courses to broaden their business and communication skills. This diploma is designed to prepare students to work in an accounting environment at an entry-level position.",Business - Accounting.
ckwg.CA.en.5.05,Business - Accounting - (Part-time),"This two-year Ontario College Diploma provides students with accounting theory and hands-on practical experience with integrated computer technologies. Students take financial and managerial accounting, taxation, finance, as well as other business-related courses to broaden their business and communication skills. This diploma is designed to prepare students to work in an accounting environment at an entry-level position.",Business - Accounting - (Part-time).
ckwg.CA.en.5.05,Small Business Accounting (part-time),"This College Certificate program prepares students with the basic knowledge needed to manage the accounting needs of a small business using Quickbooks accounting software. Through a combination of discussions and applied exercises, students are exposed to theoretical and practical knowledge on introductory financial accounting focusing on the key functional areas of accounting and financial management.",Small Business Accounting (part-time).
ckwg.CA.en.1.07,Electrician (Construction & Maintenance) (Apprenticeship),This apprenticeship program is designed to provide students with the theoretical principles and trade skills required for careers as electricians. The program also fulfills the in-school requirements of the Provincial Construction and Maintenance Electrician apprenticeship program.,Electrician (Construction & Maintenance) (Apprenticeship).
ckwg.CA.en.1.07,Powerline Technician,"This two-year Ontario College Diploma program is delivered in collaboration with Hydro Ottawa and prepares students for entry into the electrical power transmission and distribution industry. Students have the opportunity to develop essential skills and knowledge, beginning with electrical fundamentals and leading to the design, planning, construction and maintenance of distribution lines.",Powerline Technician.
ckwg.CA.en.1.08,Aircraft Maintenance Technician,This two-year Ontario College Diploma program provides students interested in pursuing a career in the aircraft maintenance industry with the necessary knowledge and skills. Recent growth in the aviation sector combined with higher than usual retirement rates have prompted many employers and manufacturers to revise hiring projections and are predicting a shortage of skilled and licensed Aircraft Maintenance Engineers (AMEs).,Aircraft Maintenance Technician.
ckwg.CA.en.1.08,Auto Body and Collision Damage Repairer (Apprenticeship),"This apprenticeship program provides Auto Body Repairer apprentices with an understanding of the ever-changing automotive technology field. In addition, apprentices gain the technical skills required to use state-of-the-art equipment to properly and profitably repair damaged vehicles.",Auto Body and Collision Damage Repairer (Apprenticeship).
ckwg.CA.en.1.08,Cabinetmaking and Furniture Technician,"This two-year Ontario College Diploma program delivered in a compressed format over 45 weeks prepares students to work in the cabinetmaking and woodworking industry, producing both traditional and contemporary furniture and commercial cabinetry. Cabinet and furniture technicians design and build components to industry specifications using hand and power tools.",Cabinetmaking and Furniture Technician.
ckwg.CA.en.1.08,General Arts and Science - Pre-Trades,"This one-year Ontario College Certificate program is designed for students who are interested in pursuing a career in the trades. Students explore six trades: general machinist, building construction technician, cabinetmaking and furniture technician, sheet metal, automotive and plumbing. The program includes hands-on experience, demonstrations and provides students with a basic understanding of the trades.",General Arts and Science - Pre-Trades.
ckwg.CA.en.1.08,Sheet Metal Worker (Apprenticeship),"This apprenticeship program provides sheet metal worker apprentices with the trade skills and theory necessary to design, assemble, and install shop fabricated parts and fulfills the in-class requirements of the apprenticeship program.",Sheet Metal Worker (Apprenticeship).
ckwg.CA.en.1.08,Welding and Fabrication Techniques,This one-year Ontario College Certificate program offered on weekends uses a combination of theory and shop work to enable students to develop the skills necessary to work independently and as a team member in the welding and fabrication field.,Welding and Fabrication Techniques.
ckwg.CA.en.1.02,Advanced Care Paramedic,"This three-term Ontario College Graduate Certificate program, accredited by the Canadian Medical Association (CMA), is designed to train CURRENT PRIMARY CARE PARAMEDICS (PCP) in all aspects of advanced care paramedicine. Students build on their existing knowledge and skills to develop greater critical-thinking processes, increased leadership qualities, and master advanced skills in respiratory care, cardiac care, pharmacology, trauma care, obstetrics and pediatrics care and medical emergencies.",Advanced Care Paramedic.
ckwg.CA.en.1.02,Paramedic,"This two-year Ontario College Diploma program is a demanding program of study that trains students in all aspects of pre-hospital emergency medicine. Students develop the clinical reasoning skills necessary to deal effectively with medical and traumatic emergencies, and develop the ability to communicate effectively with patients, family members and healthcare professionals.",Paramedic.
ckwg.CA.en.1.02,Police Foundations,"This two-year Ontario College Diploma program is the first step in preparing students for a career in the field of Law Enforcement. Students gain a broad education in human relations skills and the interpretations of social interaction. The curriculum includes courses on police powers and procedures, community policing, investigation processes, diversity, professional ethics, communication skills and fitness testing.",Police Foundations.
ckwg.CA.en.1.02,Police Foundations (part-time),"This Ontario College Diploma program is the first step in preparing students for a career in the field of Law Enforcement. Students gain a broad education in human relations skills and the interpretations of social interaction. The curriculum includes courses on police powers and procedures, community policing, investigation processes, diversity, professional ethics, communication skills and fitness testing.",Police Foundations (part-time).
ckwg.CA.en.1.02,Pre-Service Firefighter Education and Training,"This 38-week Ontario College Certificate program delivered over three levels focuses on the knowledge and competencies required of a professional firefighter. This program conforms to the requirements of the National Fire Protection Association (NFPA) 1001 Professional Firefighter Qualifications, as well as the Operational level standards of NFPA 472, Standard for Competence of Responders to Hazardous Materials/Weapons of Mass Destruction Incidents.",Pre-Service Firefighter Education and Training.
ckwg.CA.en.6.01,Bookkeeping (part-time),"This College Certificate program is the first in a series of programs that introduce students to the skills and knowledge required to embark on a career in bookkeeping. Through applied exercises and assignments using accounting and office productivity software, students develop a foundation in accounting principles and bookkeeping practices.",Bookkeeping (part-time).
ckwg.CA.en.6.01,Bookkeeping and Accounting Practices,"This one-year Ontario College Certificate program provides students with the knowledge and skills required to process and record day-to-day financial transactions and perform related business activities. Bookkeeping and payroll clerks enter the data that causes bills and employees to be paid and cash to be collected from customers. They also support accountants and managers by providing the basis for information used in business to make decisions, control performance and plan activities.",Bookkeeping and Accounting Practices.
ckwg.CA.en.6.01,Commercial Estimating (part-time),"If you are interested in learning how to prepare a commercial tender, this College Certificate program goes beyond the basic estimating principles. Students examine working plans and commercial tender documents, and explore the stages of the tender process from estimating, budgeting and bidding to the fundamentals of managing a construction project.",Commercial Estimating (part-time).
ckwg.CA.en.5.01,Financial Services,"This one-year Ontario College Graduate Certificate program prepares students for careers in the customer sales and service area of banking, insurance and independent financial planning industries.",Financial Services.
ckwg.CA.en.5.01,Professional Sales (part-time),"Achieving success in the sales profession can be challenging, but it can also be very rewarding. In this College Certificate program, students gain an understanding of the fundamentals of the marketing and sales industries and focus on strengthening their marketing, communication and selling skills. As a result, students develop an awareness of the needs and expectations of clients in order to foster solid business relationships.",Professional Sales (part-time).
ckwg.CA.en.6.04,Medical Transcription (part-time),"If you are interested in a career as a medical transcriptionist, this College Certificate program provides the theoretical knowledge and practical skills to work as a medical transcriber in hospitals, medical clinics, private practice specialties and community health agencies. Students study medical terminology, practise transcribing complex medical reports and learn medical office procedures.",Medical Transcription (part-time).
ckwg.CA.en.5.02,Bachelor of Hospitality and Tourism Management,"Developed in partnership with industry leaders, this unique four-year undergraduate degree program will give you the management skills in analysis and problem solving fit for today’s complex global business environment. Through experiential learning and traditional, research-based academia you will acquire the tools and competencies necessary to succeed in your field, plus have opportunities to network with industry leaders through two paid co-op work placements.",Bachelor of Hospitality and Tourism Management.
ckwg.CA.en.5.02,Bachelor of Hospitality and Tourism Management (Honours),"Developed in partnership with industry leaders, this unique four-year undergraduate degree program will give you the management skills in analysis and problem solving fit for today’s complex global business environment. Through experiential learning and traditional, research-based academia you will acquire the tools and competencies necessary to succeed in your field, plus have opportunities to network with industry leaders through two paid co-op work placements.",Bachelor of Hospitality and Tourism Management (Honours).
ckwg.CA.en.5.02,Bartending,"This 15-week Ontario College Certificate program offers you the highest level of professional five-star service training for bartenders entering the food and beverage service sector. The program is offered in Fall and Winter, and is divided between theory and hands-on experience in the campus bar lab. You will also make valuable industry connections during a field placement in an established Ottawa bar, restaurant or nightclub.",Bartending.
ckwg.CA.en.5.02,Esthetician,This two-year Ontario College Diploma program is offered in a compressed format over 45 weeks commencing in September (Fall term) and completing in August (Spring term). Students are prepared with the skills necessary to become professional estheticians in the wellness industry.,Esthetician.
ckwg.CA.en.5.02,Hairstyling,"This two-year Ontario College Diploma program prepares students with the knowledge and skills necessary to work as a hair stylist. The program of study emphasizes a strong theory and practical component in cutting, styling, permanent waving, chemical hair relaxing, colouring and lightening hair. Students also gain knowledge and skills in hair addition service, as well as salon operations. Students demonstrate and practice these techniques in the College`s fully functional salon, developing individualized styling options, prescribing products and performing safe and hygienic practices on clients.",Hairstyling.
ckwg.CA.en.5.02,Hairstylist (Apprenticeship),"This apprenticeship Ontario College Certificate program is offered in two eight-week levels, and is designed to further your hair industry experience, preparing you to successfully complete the provincial Hairstylist Certification of Qualification exam. You will gain leading-edge skills in our brand new, state-of-the-art hair salon cutting, styling and colouring, while learning physiology basics, hygiene, and salon management. This practical training, combined with theoretical instruction, will ensure you are equipped with the skills you need for a career as a professional hair stylist in today’s high-demand beauty industry.",Hairstylist (Apprenticeship).
ckwg.CA.en.5.02,Hospitality Services,"Students experience areas of food and beverage, accommodation management and travel and tourism through theory, hands-on practice in laboratories, role playing, field placement and visits to local hotels, bed and breakfasts, restaurants and event venues. Industry certifications such as Workplace Hazardous Information Systems (WHMIS), Smart Serve and Food Handling allow students to be job-ready on completion of the program.",Hospitality Services.
ckwg.CA.en.5.02,Outdoor Adventure,"This two-year Ontario College Diploma program provides professional guide training with the theoretical and practical skills required to work in the global outdoor adventure industry. Partnered with Wilderness Tours (Canada`s largest outdoor adventure company) students can acquire national certification in a selection of disciplines. Emphasis is placed on providing students with a well-grounded background in three main principles: safety of self and others, respect for self and others and respect for natural and cultural environments.",Outdoor Adventure.
ckwg.CA.en.5.02,Outdoor Adventure Naturalist,"This two-year Ontario College Diploma program, delivered in a compressed format over 47 weeks, is partnered with Wilderness Tours (Canada`s largest outdoor adventure company) and provides the training, practical skills, and tourism industry experience to satisfy the provincial, national, and international demand for skilled interpreters, nature and ecotourism guides. Appealing to individuals interested in working outdoors, guiding clients, and interpreting natural environments, the program focuses on nature and heritage interpretation, outdoor adventure training, leadership, business, and risk management skills.",Outdoor Adventure Naturalist.
ckwg.CA.en.5.02,Recreation and Leisure Services,"This two-year Ontario College Diploma program prepares students to pursue a professional career related to leadership positons in sport, recreation, wellness and community development. Students learn what it takes to make a difference in the community by promoting and advocating the benefits of recreation, leisure and healthy active living. Students benefit from 300 hours of field placement providing on the job training and active experience in the recreation industry. Be part of a profession where development and support of inclusive, culturally relevant, accessible recreation facilities, parks and open spaces is at the forefront. Students are active in leisure and wellness programs/events for people of all ages through the lifespan.",Recreation and Leisure Services.
ckwg.CA.en.5.02,Tourism - Travel Services,"This two-year Ontario College Diploma program is accredited and endorsed by the Association of Canadian Travel Agencies. Students are provided with the opportunity to develop employability skills for a successful career in the fast-growing tourism and travel industry by blending classroom theory with on the job training in Campus Travel; the on-campus travel service training facility. In addition, there is a two-week travel industry field placement. Students also benefit from tourism opportunities including mentoring, networking and exciting student travel activities.",Tourism - Travel Services.
ckwg.CA.en.4.04,Bachelor of Early Learning and Community Development (Honours),"The Bachelor of Early Learning and Community Development program prepares learners through a comprehensive pedagogical approach that seeks to find a balance between solid theoretical and practical knowledge of the early learning field, which encompasses both curriculum delivery and community development. Learners develop a solid understanding of child development, curriculum design, working with diverse populations, community development, and the importance of the natural environment to children. Learners develop skills in analysis and problem solving to optimize their ability to assess community and family needs; create and support early learning in diverse settings; coordinate with teams to deliver projects; to conduct and analyze research and to assume leadership positions in the early learning sector.",Bachelor of Early Learning and Community Development (Honours).
ckwg.CA.en.4.04,Bachelor of Information Technology - Information Resource Management,"The Bachelor of Information Technology (BIT) degree is a joint collaboration between Algonquin College and Carleton University, and is designed to offer students programs centred around both a practical experience and a theoretical background.",Bachelor of Information Technology - Information Resource Management.
ckwg.CA.en.4.04,Contemporary Educational Practices (part-time),"Education today must position students for success in evolving work and social environments by addressing the competencies needed to thrive in a global context. In turn, educators must transition from dispensers of knowledge to facilitators of learning. This online College Certificate outlines specific competencies that address the skills, the character building and the innovative and creative thinking processes that students need. Educators of the 21st century must be equipped with the knowledge and skills to create educational programming that engages and supports success for every student. This program is designed for current educators or working professionals engaged in teaching activities who want to be on the leading edge of evidence-based educational delivery.",Contemporary Educational Practices (part-time).
ckwg.CA.en.4.04,Early Childhood Education,This two-year Ontario College Diploma program (Perth - delivered in a compressed format over 45 weeks) prepares students to become educators of young children in a variety of early learning settings. Students develop the knowledge and skills necessary to work with families and other professionals to support children`s learning and development. Emphasis is on the development of inclusive play-based curriculum for children from birth to age 12. Students benefit from opportunities to observe the application of best practices (Woodroffe - in the onsite lab school; Perth/Pembroke - in the community) and to apply their knowledge in real-world settings as they participate in field placements.,Early Childhood Education.
ckwg.CA.en.4.04,Early Childhood Education (Intensive Offering),"This Ontario College Diploma program, delivered in an intensive format over 35 weeks, prepares students to become educators of young children in a variety of early learning settings. Students are provided with the knowledge and skills necessary to work with families and other professionals to support children`s learning and development. Emphasis is on the development of inclusive play-based curriculum for children from birth to age 12. Students benefit from opportunities to observe the application of best practices (Woodroffe - in the onsite lab school; Perth/Pembroke - in the community) and to apply their knowledge in real-world settings as they participate in field placements.",Early Childhood Education (Intensive Offering).
ckwg.CA.en.4.04,Early Childhood Education (part-time),This Ontario College Diploma program prepares students to become educators of young children in a variety of early learning settings. Students develop the knowledge and skills necessary to work with families and other professionals to support children's learning and development. Emphasis is on the development of inclusive play-based curriculum for children from birth to age 12. Students benefit from opportunities to observe the application of best practices and to apply their knowledge in real-world settings as they participate in field placements.,Early Childhood Education (part-time).
ckwg.CA.en.4.04,Early Childhood Education Administration (part-time),This Ontario College Graduate Certificate program may be of interest to individuals who have their Early Childhood Education Diploma (or its equivalent) and wish to pursue professional specialization to enhance and promote their career.,Early Childhood Education Administration (part-time).
ckwg.CA.en.4.04,Educational Technology Applications (part-time),"In this College Certificate program, learners explore innovative educational technologies and practise integrating appropriate technology and new media into the teaching and learning process to generate engaging and interactive learning. Learners are exposed to best pedagogical practices for creating collaborative, technology-based learning experiences through the exploration of emerging technologies, various learning management systems, collaborative tools, open education resources (OER), social media and its implications for techno-cultural issues, end-user capabilities and universal accessibility.",Educational Technology Applications (part-time).
ckwg.CA.en.4.04,General Arts and Science,"This one-year Ontario College Certificate program prepares students to live responsible, productive and creative lives in the ever-changing world. With a focus on lifelong learning and a promotion of responsibility, the program assists students in gaining the prerequisites required for entry into other college programs. Students also have the opportunity to explore career choices in an environment that values active engagement with community and society.",General Arts and Science.
ckwg.CA.en.4.04,General Arts and Science  -January Start,"Students have the opportunity to begin postsecondary studies in January in the General Arts and Science Diploma program. The curriculum includes a wide-range of social science courses and provides students with a solid academic base. Students have the opportunity to develop their skills at the postsecondary level, explore their aptitudes and skills and may be guided to determine the educational and vocational path that is best suited for them. The January start program appeals to both new students and those exploring other postsecondary programs.",General Arts and Science  -January Start.
ckwg.CA.en.4.04,General Arts and Science - Aboriginal Studies,"This one-year Ontario College Certificate program enhances the student`s knowledge and appreciation of First Nations, Inuit and Metis Peoples. Students study culture and heritage, contemporary issues, Aboriginal languages, community development strategies, and Aboriginal law and government. Students have the opportunity to explore their heritage through a genealogy course. Courses in communications, computer applications and career planning are also included in the program of study.",General Arts and Science - Aboriginal Studies.
ckwg.CA.en.4.04,Learning Analytics (part-time),"Learning analytics is a rapidly growing and emergent field of research impacting the evolution of higher education, notably as it relates to learners' academic success and the design of personalized learning environments. In this online College Certificate program, students explore the collection, measurement and analysis of online learner data that informs decision-makers regarding learners' experience and overall academic performance. Students focus specifically on how learning analytics can help improve online learner retention and success, target at-risk learner populations and design curriculum for adaptive learning environments. Students also examine access and privacy issues as they relate to policies governing student data collection and learning analytics research.",Learning Analytics (part-time).
ckwg.CA.en.4.04,Library and Information Technician,"This two-year Ontario College Diploma program provides students with the knowledge and skills required to carry out the tasks performed in two main functional areas of library and information resource centres: technical services and public services. Technical services involve manual and automated operations related to acquiring, processing and organizing all types of informational material. Public services involve assisting or teaching clients in finding, or using information resources, in print and in electronic format.",Library and Information Technician.
ckwg.CA.en.4.04,Online Learning Design and Development (part-time),"Designed for individuals and educators interested in course facilitation, course development and assessment in an online environment, this online College Certificate offers a foundation with opportunities to apply facilitation and course development techniques for online course implementation. Beginning with the pedagogy of online learning, courses then focus on design principles and development processes used to create course content, and the integration of social media to create communities of study, as well as effective facilitation techniques that enhance student engagement. Learners have the opportunity to create performance-based, valid assessments for online courses.",Online Learning Design and Development (part-time).
ckwg.CA.en.4.04,Sustainability Education (part-time),"An important aspect of educating the public is to prepare people to live in, work in and contribute to environmentally sustainable communities. This College Certificate program focuses on developing the knowledge, values and skills to integrate local and global sustainability into existing programs or curriculum. Students develop contacts with environmentally conscientious people through networking. They gain authentic experience designing, delivering and evaluating original activities for diverse audiences in companies, community groups or schools.",Sustainability Education (part-time).
ckwg.CA.en.4.04,Teachers and Trainers of Adults (part-time),"Are you interested in facilitating learning and assisting adult learners in achieving their goals? If so, this College Certificate program provides educators with the strategies and methods geared towards the needs and abilities of adult learners. Students explore the principles of adult learning, curriculum development, and assessment and evaluation techniques.",Teachers and Trainers of Adults (part-time).
ckwg.CA.en.4.04,Teachers of English as a Second/Foreign Language,"This Ontario College Graduate Certificate program, recognized by TESL Ontario and TESL Canada, provides teacher candidates with the theoretical foundations and practical techniques to help learners develop proficiency in English as a second language. The focus is on specialized knowledge and skills in the area of English as a Second/Foreign Language (ESL/EFL) methodology, teaching techniques, curriculum design and evaluation to prepare for a career in teaching ESL/EFL to adult learners. In addition, teacher candidates gain essential hands-on experience by completing two practicum placements, as well as an optional overseas teaching internship.",Teachers of English as a Second/Foreign Language.
ckwg.CA.en.4.04,Teachers of English as a Second/Foreign Language  (part-time),"This Ontario College Graduate Certificate program, recognized by TESL Ontario and TESL Canada, provides teacher candidates with the theoretical foundations and practical techniques to help learners develop proficiency in English as a second language. The focus is on specialized knowledge and skills in the area of English as a Second/Foreign Language (ESL/EFL) methodology, teaching techniques, curriculum design and evaluation to prepare for a career in teaching ESL/EFL to adult learners. In addition, teacher candidates gain essential hands-on experience by completing two practicum placements, as well as an optional overseas teaching internship.",Teachers of English as a Second/Foreign Language  (part-time).
ckwg.CA.en.2.03,General Arts and Science - Pre-Health Sciences,This one-year Ontario College Certificate program prepares students to be successful in a variety of health science programs. Students explore their interests in the health science field while developing strong study skills and earning credits which may be transferred to other college programs.,General Arts and Science - Pre-Health Sciences.
ckwg.CA.en.2.03,Veterinary Assistant,"This one-year Ontario College Certificate program provides students with the knowledge and skills necessary for support services in veterinary and other animal care settings. Students learn basic knowledge of the veterinary environment including animal nursing and surgical care, laboratory procedures, animal handling and restraint skills, grooming techniques and client service skills. Effective client relations with animal owners are fundamental in providing quality animal care. The development of strong interpersonal and communication skills is emphasized. The program focus is on companion animal care, however, students also learn about common issues that are encountered in mixed animal practices, shelter animal medicine and laboratory animal care.",Veterinary Assistant.
ckwg.CA.en.2.03,Veterinary Technician,"This two-year Ontario College Diploma program prepares students to enter the veterinary technician profession by offering an authentic learning experience working alongside highly credentialed professionals in our on-campus veterinary medical facility and in our partnering facilities in the local community. This challenging and rewarding program offers quality academics and practical experiences, which provides a solid foundation to graduates who are entering various career paths within the exciting profession of veterinary technology.",Veterinary Technician.
ckwg.CA.en.6.05,Nursing Unit Clerk (part-time),"Looking for a challenging career providing clerical and administrative support for a hospital unit or healthcare institution? This College Certificate program provides students with the essential office management and business communication skills required to work in a healthcare environment. Students gain a thorough understanding of medical terminology, medical conditions, pharmacology, surgical procedures and medical testing techniques.",Nursing Unit Clerk (part-time).
ckwg.CA.en.6.05,Office Administration - Executive,"This two-year Ontario College Diploma program (Perth - delivered in a compressed format over 45 weeks, Pembroke - 46 weeks) provides students with the theoretical and practical skills required to work as administrative professionals in the public or private sector.",Office Administration - Executive.
ckwg.CA.en.6.05,Office Administration - Executive (part-time),This Ontario College Diploma program (Perth - delivered in a compressed format over 45 (Pembroke - 46) weeks) provides graduates with the theoretical and practical skills required to work as administrative assistants in the public or private sector.,Office Administration - Executive (part-time).
ckwg.CA.en.6.05,Office Administration - General,"This one-year Ontario College Certificate program prepares students for a career in office administration support. Students develop office skills, learn administrative procedures, and study computer applications using Microsoft Office and other software packages. The program emphasizes the development of strong technical, communications, and human relations skills and includes courses in document production. In addition, students gain practical experience in the classroom through simulated office situations.",Office Administration - General.
ckwg.CA.en.6.05,Office Administration - General (part-time),"This Ontario College Certificate program prepares students for a career in office administration support. Students develop office skills, learn administrative procedures, and study computer applications using Microsoft Office and other software packages. The program emphasizes the development of strong technical, communications, and human relations skills and includes courses in document production. In addition, students gain practical experience through simulated office situations.",Office Administration - General (part-time).
ckwg.CA.en.6.05,Office Administration - Health Services,"This two-year Ontario College Diploma program prepares graduates to work in fast-paced and challenging health services settings. The program consists of four levels. Levels 01 and 02 are the Office Administration - General Ontario College Certificate program. Levels 03 and 04 focus on development of health services administration practices. Areas of concentration are health records management, management of an EMR system, billing, terminology, accounting practices, transcription and simulated projects from a variety of health services environments. Emphasis is placed on the practical demands of the job, confidentiality, professional ethics, privacy, sensitivity and patient relations. Students undertake a mandatory field assignment to integrate theoretical knowledge.",Office Administration - Health Services.
ckwg.CA.en.6.05,Office Operations and Business Practices (part-time),"If you are interested in acquiring the skills and knowledge to work in a computerized business environment, enrol in this College Certificate program. Students learn how to use the standard microcomputer applications, as well as ACCPAC, which is one of the most popular business accounting software programs in the industry.",Office Operations and Business Practices (part-time).
ckwg.CA.en.5.03,Law Clerk,This two-year Ontario College Diploma program prepares students for employment as law clerks. Law clerks work independently under the general direction of a lawyer or as part of a legal services team and perform routine legal and administrative duties and also assist lawyers by conducting a variety of legal functions.,Law Clerk.
ckwg.CA.en.5.03,Law Clerk  (Intensive Offering),"This three-level intensive Ontario College Diploma program, designed for university graduates and graduates of two or three-year college programs, prepares students for employment as law clerks. Law clerks work independently under the general direction of a lawyer or as part of a legal services team and perform routine legal and administrative duties and also assist lawyers by conducting a variety of legal functions.",Law Clerk  (Intensive Offering).
ckwg.CA.en.5.03,Office Administration - Legal,This two-year Ontario College Diploma program prepares graduates to work as legal assistants who are able to work in a variety of legal or general office environments.,Office Administration - Legal.
ckwg.CA.en.5.03,Paralegal,"This one year Ontario College Graduate Certificate program, offered in three semesters, prepares graduates to apply to the Law Society of Upper Canada (LSUC) to become licensed paralegals. Paralegals are non-lawyers providing legal services in specified areas of practice to the public for a fee. The type of work that a licensed paralegal can perform is governed by the LSUC, and this program is restricted to those areas of law.",Paralegal.
ckwg.CA.en.5.08,Forensic Accounting and Fraud Investigations,"If you are interested in joining the growing field of forensic accounting and fraud investigations, this Ontario College Graduate Certificate program provides you with the professional skills and practical techniques to detect and prevent fraud in today's business world. Learn how to investigate and analyze financial evidence, apply computer techniques to investigations, and understand the theories of ethics and criminology.",Forensic Accounting and Fraud Investigations.
ckwg.CA.en.5.08,Forensic Accounting and Fraud Investigations (part-time),"If you are interested in joining the growing field of forensic accounting and fraud investigations, this Ontario College Graduate Certificate program provides you with the professional skills and practical techniques to detect and prevent fraud in today's business world. Learn how to investigate and analyze financial evidence, apply computer techniques to investigations, and understand the theories of ethics and criminology.",Forensic Accounting and Fraud Investigations (part-time).
ckwg.CA.en.5.08,Occupational Safety and Health (part-time),"Concerned about the safety of people at work and the related workplace hazards? This College Certificate program provides students with knowledge, skills and training in the theories and practices of occupational safety and health. In addition to the fundamentals, students learn the management skills required to help them gain the ability to oversee workplace safety programs.",Occupational Safety and Health (part-time).
ckwg.CA.en.5.08,Regulatory Affairs - Sciences,"This one-year Ontario College Graduate Certificate program provides students with industry-specific knowledge to enter and promote their careers in regulatory affairs. The regulation of products in industries, such as healthcare, biotechnology, food, industrial chemical and agrochemical is of international concern. The resulting increase in regulation has driven the demand for qualified individuals in regulatory affairs. With a focus on protecting the safety of people and the environment, professionals in this field have a positive impact on the public good.",Regulatory Affairs - Sciences.
ckwg.CA.en.5.08,Regulatory Affairs - Sciences (part-time),"This one-year Ontario College Graduate Certificate program provides students with industry-specific knowledge to enter and promote their careers in regulatory affairs. The regulation of products in industries such as healthcare, biotechnology, food, industrial chemical and agrochemical is of international concern. The resulting increase in regulation has driven the demand for qualified individuals in regulatory affairs. With a focus on protecting the safety of people and the environment, professionals in this field have a positive impact on the public good.",Regulatory Affairs - Sciences (part-time).
